Term,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,CreditScoreRangeLower,CreditScoreRangeUpper,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,LoanCurrentDaysDelinquent,LoanMonthsSinceOrigination,LoanOriginalAmount,LoanOriginationQuarter,MonthlyLoanPayment,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors,decision
36,1,MN,Retail Management,Employed,175.0,True,False,660.0,679.0,9.0,9.0,23.0,8,548.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,20551.0,0.95,822.0,21.0,0.95,0.0,0.2,"$50,000-74,999",True,5166.666667,0,4,14000,Q4 2013,472.66,1.0,0,0,0.0,1,Review
36,1,NY,Other,Other,68.0,False,False,700.0,719.0,9.0,9.0,18.0,8,617.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10050.0,0.4,4465.0,17.0,0.76,0.0,9.2,"$1-24,999",True,118.333333,0,13,4000,Q1 2013,172.76,1.0,0,0,0.0,94,Denied
36,15,IL,Skilled Labor,Employed,3.0,False,False,680.0,699.0,7.0,7.0,34.0,5,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7975.0,0.84,607.0,22.0,1.0,0.0,0.39,"$25,000-49,999",True,2500.0,193,11,2000,Q2 2013,78.67,1.0,0,0,0.0,30,Denied
36,1,LA,Other,Employed,91.0,True,False,660.0,679.0,10.0,8.0,51.0,5,81.0,3.0,10.0,0.0,0.0,8.0,1.0,0.0,1349.0,0.17,4770.0,47.0,0.91,3.0,0.16,"$25,000-49,999",True,2333.333333,0,3,4000,Q4 2013,141.02,1.0,0,0,0.0,1,Review
36,15,CA,Engineer - Mechanical,Employed,15.0,False,False,680.0,699.0,2.0,2.0,16.0,2,38.0,1.0,4.0,0.0,0.0,4.0,2.0,0.0,331.0,0.07,4069.0,10.0,0.72,1.0,0.12,"$75,000-99,999",True,6974.0,0,5,4000,Q4 2013,161.78,1.0,0,0,0.0,3,Denied
60,1,NY,Sales - Commission,Employed,25.0,False,False,660.0,679.0,7.0,6.0,12.0,6,95.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2033.0,0.3,3619.0,10.0,1.0,1.0,0.11,"$25,000-49,999",True,3885.916667,0,13,4000,Q1 2013,124.76,1.0,0,0,0.0,37,Denied
36,1,CO,Executive,Full-time,10.0,True,False,700.0,719.0,16.0,16.0,49.0,11,294.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,7246.0,0.09,30794.0,40.0,1.0,2.0,0.26,"$75,000-99,999",True,6666.666667,0,45,4000,Q2 2010,0.0,1.0,0,0,0.0,121,Approved
36,2,PA,Military Enlisted,Employed,48.0,True,False,720.0,739.0,5.0,5.0,7.0,4,60.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2919.0,0.31,6381.0,5.0,1.0,0.0,0.12,"$25,000-49,999",True,3600.0,0,4,10000,Q4 2013,354.54,1.0,0,0,0.0,1,Review
36,1,LA,Other,Employed,16.0,True,False,740.0,759.0,24.0,21.0,50.0,13,533.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,17451.0,0.34,24401.0,47.0,0.97,2.0,0.32,"$100,000+",True,10416.666667,0,2,35000,Q1 2014,1169.03,1.0,0,0,0.0,1,Approved
36,20,CA,Other,Employed,44.0,False,False,740.0,759.0,4.0,4.0,19.0,4,105.0,0.0,0.0,1.0,42488.0,10.0,1.0,0.0,4307.0,0.13,25779.0,18.0,0.72,1.0,0.11,"$25,000-49,999",True,3750.0,0,25,10000,Q1 2012,322.62,1.0,0,0,0.0,30,Approved
36,2,WI,Other,Other,44.0,False,False,680.0,699.0,0.0,0.0,21.0,0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,20.0,0.6,0.0,0.04,"$25,000-49,999",True,2250.0,0,18,2000,Q3 2012,86.85,1.0,0,0,0.0,24,Denied
36,1,NY,Clerical,Employed,269.0,True,False,660.0,679.0,9.0,8.0,30.0,7,610.0,0.0,6.0,0.0,0.0,51.0,0.0,0.0,25224.0,0.8,5049.0,29.0,0.96,0.0,0.22,"$75,000-99,999",True,7000.0,0,2,25000,Q1 2014,839.22,1.0,0,0,0.0,1,Review
36,7,IL,Other,Employed,7.0,False,False,760.0,779.0,6.0,3.0,17.0,3,58.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,41.0,0.01,3859.0,14.0,0.92,0.0,0.05,"$100,000+",True,13083.333333,0,41,16000,Q4 2010,500.28,1.0,0,0,0.0,326,Approved
36,1,GA,Other,Other,426.0,True,False,640.0,659.0,6.0,6.0,16.0,4,60.0,1.0,5.0,2.0,15543.0,15.0,1.0,0.0,4175.0,0.91,266.0,14.0,0.75,0.0,0.17,"$25,000-49,999",True,4058.333333,0,1,10000,Q1 2014,367.57,1.0,0,0,0.0,1,Review
36,1,OH,Retail Management,Employed,55.0,False,False,700.0,719.0,8.0,5.0,16.0,3,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5328.0,0.58,3282.0,16.0,0.87,0.0,0.2,"$25,000-49,999",True,3833.333333,0,27,9000,Q4 2011,317.35,1.0,0,0,0.0,14,Review
36,1,MN,Professional,Employed,112.0,True,False,680.0,699.0,12.0,11.0,34.0,10,757.0,3.0,5.0,0.0,0.0,12.0,0.0,0.0,103263.0,0.55,31444.0,32.0,0.87,2.0,0.14,"$100,000+",True,8750.0,0,3,10000,Q4 2013,416.34,1.0,0,0,0.0,3,Denied
36,15,NC,Teacher,Employed,361.0,True,False,640.0,659.0,10.0,9.0,47.0,6,248.0,0.0,1.0,0.0,0.0,52.0,1.0,0.0,8672.0,0.93,578.0,32.0,0.68,1.0,0.31,"$25,000-49,999",True,3333.333333,0,6,5000,Q3 2013,197.98,1.0,0,0,0.0,1,Denied
36,1,IL,Other,Other,539.0,True,False,800.0,819.0,19.0,18.0,39.0,19,634.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,14038.0,0.1,90784.0,35.0,0.97,1.0,0.14,"$50,000-74,999",True,6000.0,0,7,7000,Q3 2013,218.03,1.0,0,0,0.0,151,Approved
60,1,WA,Other,Self-employed,276.0,False,False,680.0,699.0,10.0,9.0,28.0,10,1233.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,61284.0,0.46,69166.0,28.0,1.0,2.0,0.22,"$100,000+",False,12750.0,0,2,15000,Q1 2014,374.81,1.0,0,0,0.0,3,Review
60,7,MI,Other,Employed,76.0,True,False,700.0,719.0,9.0,7.0,44.0,4,80.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,2460.0,0.69,290.0,39.0,0.76,3.0,0.08,"$100,000+",True,9000.0,0,21,13000,Q2 2012,350.6,1.0,0,0,0.0,181,Review
36,1,KS,Clergy,Employed,25.0,False,False,640.0,659.0,9.0,9.0,15.0,7,152.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,5985.0,0.74,2025.0,15.0,0.8,0.0,0.1,"$50,000-74,999",True,4333.333333,0,5,5000,Q4 2013,179.76,1.0,0,0,0.0,5,Review
36,1,WA,Professional,Employed,32.0,True,False,720.0,739.0,14.0,12.0,31.0,12,1125.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,34881.0,0.91,3041.0,31.0,1.0,1.0,0.19,"$100,000+",True,8916.666667,0,9,16000,Q2 2013,573.15,1.0,0,0,0.0,1,Review
60,1,NV,Executive,Employed,28.0,True,False,740.0,759.0,13.0,13.0,53.0,15,471.0,1.0,6.0,1.0,2629.0,4.0,0.0,0.0,18590.0,0.63,10735.0,50.0,0.9,1.0,0.13,"$100,000+",True,16000.0,0,11,25000,Q2 2013,543.44,1.0,0,0,0.0,515,Approved
36,1,CO,Professional,Employed,90.0,True,True,680.0,699.0,15.0,15.0,33.0,11,561.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,20812.0,0.84,3595.0,27.0,0.88,2.0,0.35,"$50,000-74,999",True,5416.666667,0,10,15000,Q2 2013,505.34,1.0,1,0,0.0,1,Approved
60,1,NJ,Attorney,Employed,10.0,True,False,720.0,739.0,19.0,17.0,41.0,7,846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153812.0,0.97,3507.0,39.0,0.94,1.0,0.25,"$100,000+",True,14583.333333,0,7,15000,Q3 2013,358.35,1.0,0,0,0.0,1,Review
60,1,NV,Professional,Employed,145.0,True,False,780.0,799.0,11.0,10.0,30.0,9,1010.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,42592.0,0.36,66742.0,26.0,0.92,0.0,0.21,"$75,000-99,999",True,7458.333333,0,7,25000,Q3 2013,524.92,1.0,0,0,0.0,481,Approved
60,1,TX,Nurse (RN),Employed,43.0,True,False,640.0,659.0,12.0,11.0,48.0,10,347.0,1.0,9.0,2.0,579.0,18.0,0.0,0.0,3706.0,0.37,3414.0,40.0,0.76,1.0,0.12,"$75,000-99,999",True,7916.666667,0,3,10000,Q4 2013,273.35,1.0,0,0,0.0,1,Denied
36,1,AR,Nurse (RN),Employed,0.0,True,False,640.0,659.0,5.0,5.0,27.0,3,73.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1287.0,0.91,113.0,20.0,0.95,1.0,0.11,"$50,000-74,999",True,4853.333333,0,28,2500,Q4 2011,90.37,1.0,0,0,0.0,51,Review
36,1,MI,Other,Employed,209.0,True,False,720.0,739.0,9.0,9.0,47.0,7,445.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,7465.0,0.61,3881.0,40.0,0.97,0.0,0.28,"$75,000-99,999",True,8166.666667,0,12,7000,Q1 2013,230.93,1.0,0,0,0.0,87,Approved
36,1,SC,Accountant/CPA,Employed,76.0,False,False,640.0,659.0,4.0,4.0,9.0,3,96.0,0.0,1.0,1.0,67.0,0.0,1.0,0.0,2599.0,0.87,90.0,6.0,0.71,0.0,0.17,"$25,000-49,999",True,4056.0,0,13,3000,Q1 2013,122.67,1.0,0,0,0.0,65,Denied
60,2,WI,Executive,Employed,61.0,True,False,720.0,739.0,14.0,9.0,42.0,4,146.0,5.0,8.0,0.0,0.0,2.0,0.0,0.0,2972.0,0.45,3528.0,26.0,0.76,1.0,0.16,"$100,000+",True,10000.0,0,19,18000,Q3 2012,462.19,1.0,0,0,0.0,4,Review
36,1,GA,Retail Management,Employed,51.0,False,False,660.0,679.0,9.0,9.0,57.0,13,388.0,0.0,2.0,0.0,0.0,42.0,1.0,0.0,9037.0,0.57,3538.0,54.0,0.74,2.0,0.22,"$25,000-49,999",True,3416.666667,0,4,10000,Q4 2013,341.73,1.0,0,0,0.0,1,Review
36,1,IL,Retail Management,Employed,179.0,False,False,680.0,699.0,7.0,7.0,19.0,4,151.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,4231.0,0.91,298.0,18.0,0.94,1.0,0.37,"$50,000-74,999",True,4734.333333,0,6,15000,Q3 2013,547.57,1.0,0,0,0.0,77,Review
36,1,NY,Construction,Employed,155.0,True,False,720.0,739.0,18.0,14.0,37.0,14,331.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,8477.0,0.59,4444.0,27.0,0.96,0.0,0.15,"$100,000+",True,9166.666667,414,26,2000,Q1 2012,80.07,1.0,0,0,0.0,2,Denied
60,1,IL,Clergy,Employed,89.0,False,False,720.0,739.0,7.0,6.0,22.0,5,492.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8764.0,0.32,16098.0,22.0,0.95,0.0,0.25,"$50,000-74,999",True,4666.666667,0,8,8000,Q3 2013,191.12,1.0,0,0,0.0,82,Review
60,1,IL,Teacher,Employed,195.0,True,False,700.0,719.0,10.0,9.0,35.0,8,1047.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,45348.0,0.89,5271.0,25.0,1.0,1.0,0.29,"$75,000-99,999",True,7500.0,0,4,25000,Q4 2013,620.64,1.0,0,0,0.0,1,Review
36,19,DE,Analyst,Employed,103.0,True,False,660.0,679.0,6.0,5.0,62.0,6,76.0,4.0,13.0,20.0,72705.0,72.0,2.0,0.0,414.0,0.19,1215.0,47.0,0.74,2.0,0.03,"$75,000-99,999",True,7108.333333,0,3,2000,Q4 2013,67.14,1.0,0,0,0.0,1,Review
36,1,NJ,Sales - Commission,Employed,3.0,True,False,680.0,699.0,8.0,8.0,17.0,5,370.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,11229.0,0.81,2258.0,15.0,0.93,0.0,0.42,"$25,000-49,999",True,3166.666667,0,5,5000,Q4 2013,204.1,1.0,0,0,0.0,1,Denied
36,1,CA,Other,Other,427.0,True,False,660.0,679.0,14.0,14.0,35.0,15,464.0,2.0,6.0,1.0,52379.0,4.0,0.0,0.0,15885.0,0.68,7165.0,34.0,0.97,3.0,0.21,"$50,000-74,999",True,4666.666667,0,0,15000,Q1 2014,527.73,1.0,0,0,0.0,1,Review
12,1,CA,Professional,Employed,70.0,False,False,600.0,619.0,14.0,13.0,54.0,14,359.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,17778.0,0.94,955.0,25.0,0.92,0.0,0.28,"$50,000-74,999",True,4777.0,0,33,3000,Q2 2011,287.6,1.0,0,0,0.0,32,Denied
60,1,IL,Investor,Self-employed,12.0,True,True,700.0,719.0,5.0,5.0,21.0,3,373.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19961.0,0.79,5039.0,21.0,1.0,0.0,0.22,"$25,000-49,999",False,2700.0,0,2,9000,Q1 2014,197.44,1.0,0,0,0.0,1,Approved
36,1,MD,Retail Management,Employed,37.0,False,False,640.0,659.0,12.0,12.0,22.0,4,140.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7101.0,0.76,2149.0,12.0,1.0,0.0,0.17,"$50,000-74,999",True,4500.0,0,8,10000,Q3 2013,374.14,1.0,0,0,0.0,1,Review
36,13,CA,Other,Employed,141.0,True,False,760.0,779.0,20.0,14.0,75.0,13,219.0,2.0,11.0,0.0,0.0,4.0,0.0,0.0,7610.0,0.39,11195.0,72.0,1.0,0.0,0.53,"$25,000-49,999",True,2916.666667,0,16,2774,Q4 2012,120.47,0.9247,0,0,0.0,49,Denied
36,7,FL,Other,Employed,34.0,False,False,660.0,679.0,9.0,7.0,20.0,6,345.0,2.0,5.0,1.0,73.0,1.0,1.0,0.0,11108.0,0.63,4814.0,18.0,0.7,0.0,0.1,"$100,000+",True,8333.333333,0,34,4500,Q2 2011,181.28,1.0,0,0,0.0,49,Denied
36,1,MD,Other,Employed,84.0,True,False,700.0,719.0,7.0,5.0,34.0,2,53.0,1.0,2.0,3.0,155578.0,64.0,0.0,0.0,408.0,0.86,55.0,29.0,0.75,1.0,0.11,"$50,000-74,999",True,6000.0,0,8,4000,Q3 2013,154.26,1.0,0,0,0.0,40,Denied
36,7,FL,Fireman,Employed,213.0,True,False,680.0,699.0,4.0,5.0,53.0,3,52.0,1.0,3.0,6.0,5256.0,5.0,1.0,0.0,892.0,0.19,2006.0,50.0,0.7,1.0,0.21,"$50,000-74,999",True,5314.25,298,36,2500,Q1 2011,108.87,1.0,0,0,0.0,50,Denied
36,19,KS,Skilled Labor,Employed,72.0,False,False,660.0,679.0,8.0,8.0,15.0,6,162.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3208.0,0.53,2408.0,14.0,1.0,2.0,0.26,"$50,000-74,999",True,4750.0,190,8,4000,Q3 2013,166.73,1.0,0,0,0.0,42,Denied
36,6,VA,Analyst,Full-time,21.0,True,False,760.0,779.0,15.0,15.0,36.0,6,210.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,7168.0,0.48,7682.0,28.0,1.0,0.0,0.18,"$75,000-99,999",True,6466.666667,0,37,5600,Q1 2011,183.31,1.0,0,0,0.0,114,Review
36,1,NY,Skilled Labor,Employed,173.0,False,False,740.0,759.0,9.0,6.0,28.0,5,231.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9404.0,0.45,11346.0,27.0,0.96,0.0,0.23,"$75,000-99,999",True,7500.0,0,11,22500,Q2 2013,841.81,1.0,0,0,0.0,1,Review
36,1,UT,Other,Employed,55.0,False,False,640.0,659.0,5.0,4.0,10.0,4,170.0,0.0,2.0,1.0,7342.0,15.0,0.0,0.0,5538.0,0.97,128.0,9.0,0.66,1.0,0.31,"$1-24,999",True,1061.5,0,2,4000,Q1 2014,156.81,1.0,0,0,0.0,25,Denied
60,1,DC,Professional,Employed,51.0,False,False,780.0,799.0,8.0,7.0,14.0,5,236.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22554.0,0.59,15145.0,14.0,1.0,1.0,0.1,"$100,000+",True,10000.0,0,15,25000,Q4 2012,531.18,1.0,0,0,0.0,335,Approved
36,7,NY,Other,Employed,47.0,False,False,600.0,619.0,9.0,9.0,9.0,8,229.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3726.0,0.76,535.0,9.0,0.88,1.0,0.12,"$50,000-74,999",True,4166.666667,19,8,4000,Q3 2013,168.32,1.0,0,0,0.0,1,Denied
36,7,GA,Accountant/CPA,Employed,117.0,False,False,660.0,679.0,11.0,9.0,23.0,8,138.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,2138.0,0.05,33982.0,20.0,0.6,1.0,0.35,"$25,000-49,999",True,3250.0,579,21,4000,Q2 2012,168.89,1.0,0,0,0.0,11,Denied
60,1,MA,Flight Attendant,Employed,213.0,True,False,760.0,779.0,11.0,11.0,22.0,10,908.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,41278.0,0.43,52602.0,21.0,1.0,0.0,0.28,"$50,000-74,999",True,5083.333333,0,6,20000,Q3 2013,528.1,1.0,0,0,0.0,1,Review
60,1,MN,Other,Employed,93.0,True,False,660.0,679.0,4.0,4.0,7.0,2,158.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5008.0,0.98,50.0,7.0,1.0,0.0,0.19,"$25,000-49,999",True,2916.666667,0,2,10000,Q1 2014,258.03,1.0,0,0,0.0,1,Review
36,1,FL,Nurse (LPN),Employed,131.0,True,False,640.0,659.0,8.0,7.0,50.0,3,91.0,1.0,12.0,0.0,0.0,73.0,2.0,0.0,3120.0,0.89,380.0,43.0,0.72,0.0,0.19,"$50,000-74,999",True,5416.666667,0,1,4500,Q1 2014,165.07,1.0,0,0,0.0,20,Review
36,1,GA,Professional,Employed,127.0,True,False,640.0,659.0,28.0,28.0,42.0,25,807.0,1.0,10.0,0.0,0.0,30.0,0.0,0.0,22591.0,0.86,3031.0,39.0,0.89,2.0,0.4,"$25,000-49,999",True,3333.333333,0,21,4000,Q2 2012,169.78,1.0,0,0,0.0,35,Denied
36,7,CO,Construction,Employed,5.0,True,False,700.0,719.0,7.0,6.0,19.0,3,224.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,10173.0,0.99,43.0,12.0,1.0,2.0,0.23,"$75,000-99,999",True,6250.0,0,28,4000,Q4 2011,174.2,1.0,0,0,0.0,48,Denied
36,6,MD,Construction,Employed,76.0,False,False,660.0,679.0,4.0,4.0,11.0,2,50.0,2.0,2.0,0.0,0.0,11.0,0.0,0.0,262.0,0.32,538.0,6.0,0.66,0.0,0.08,"$75,000-99,999",True,7083.333333,0,21,3500,Q2 2012,125.97,1.0,0,0,0.0,34,Review
36,1,MN,Other,Employed,25.0,False,False,700.0,719.0,5.0,5.0,11.0,3,38.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1007.0,0.29,1193.0,5.0,1.0,1.0,0.3,"$25,000-49,999",True,2250.0,0,39,3500,Q4 2010,152.83,1.0,0,0,0.0,54,Denied
60,18,MN,Laborer,Employed,166.0,True,False,680.0,699.0,17.0,15.0,29.0,11,1043.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26085.0,0.55,10975.0,26.0,0.96,2.0,0.43,"$50,000-74,999",True,5416.666667,513,21,7000,Q2 2012,205.01,1.0,0,0,0.0,152,Review
36,7,MO,Military Officer,Employed,33.0,True,False,700.0,719.0,15.0,13.0,23.0,7,478.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,17878.0,0.92,833.0,17.0,1.0,3.0,0.43,"$50,000-74,999",True,5196.25,0,24,4000,Q1 2012,173.71,1.0,0,0,0.0,6,Denied
36,1,TX,Analyst,Employed,48.0,True,False,680.0,699.0,10.0,9.0,18.0,6,422.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,15615.0,0.61,8667.0,18.0,0.88,3.0,0.13,"$100,000+",True,14833.333333,0,1,20000,Q1 2014,644.41,1.0,0,0,0.0,1,Approved
60,1,FL,Clerical,Employed,42.0,False,False,720.0,739.0,12.0,12.0,15.0,10,294.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9760.0,0.29,23290.0,14.0,1.0,1.0,0.56,"$25,000-49,999",True,2583.333333,0,19,15000,Q3 2012,407.83,1.0,0,0,0.0,213,Review
36,7,GA,Sales - Retail,Employed,30.0,False,False,640.0,659.0,2.0,2.0,6.0,2,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.83,0.0,0.05,"$1-24,999",True,1500.0,0,16,2000,Q4 2012,73.71,1.0,0,0,0.0,38,Review
